"original address",latitude,longitude
"Novosibirsk,",55.008353,82.935733
"Omsk,",54.98848,73.324236
"Oral,",43.405288,-103.267586
"Phnom Penh,",11.544873,104.892167
"Pontianak,",-0.02633,109.342504
"Pyongyang,",39.039219,125.762524
"Qatar,",25.354826,51.183884
"Qyzylorda,",44.848831,65.482269
"Rangoon,",16.866069,96.195132
"Riyadh,",24.713552,46.675296
"Sakhalin,",50.690985,142.950569
"Samarkand,",39.627012,66.974973
"Seoul,",37.566535,126.977969
"Shanghai,",31.230416,121.473701
"Singapore,",1.352083,103.819836
"Srednekolymsk,",67.437307,153.728674
"Taipei,",25.032969,121.565418
"Tashkent,",41.299496,69.240073
"Tbilisi,",41.715138,44.827096
"Tehran,",35.689198,51.388974
"Thimphu,",27.472792,89.639286
"Tokyo,",35.689488,139.691706
"Ulaanbaatar,",47.886399,106.905744
"Urumqi,",43.825592,87.616848
"Ust-Nera,",64.55961,143.224425
"Vientiane,",17.975706,102.633104
"Vladivostok,",43.173739,132.006451
"Yakutsk,",62.035452,129.675475
"Yekaterinburg,",56.838926,60.605703
"Yerevan,",40.179186,44.499103
"Azores,",37.741249,-25.675594
"Bermuda,",32.3078,-64.7505
"Canary,",33.49242,-102.313111
"Cape Verde,",15.120142,-23.605172
"Faroe,",57.944187,19.142479
"Madeira,",32.760707,-16.959472
"Reykjavik,",64.126521,-21.817439
"South Georgia,",32.165622,-82.900075
"St Helena,",38.505243,-122.470387
"Stanley,",22.220422,114.212669
"Adelaide,",-34.928621,138.599959
"Brisbane,",-27.471011,153.023449
"Broken Hill,",-31.955858,141.465136
"Currie,",55.898864,-3.311021
"Darwin,",-12.462827,130.841777
"Eucla,",-31.677126,128.889304
"Hobart,",-42.881903,147.323815
"Lindeman,",59.785044,-135.087443
"Lord Howe,",-31.531482,159.070199
"Melbourne,",28.083627,-80.608109
"Perth,",-31.953513,115.857047
"Sydney,",-33.867487,151.20699
"Amsterdam,",52.370216,4.895168
"Andorra,",42.506285,1.521801
"Athens,",37.983917,23.72936
"Belgrade,",44.786568,20.448922
"Berlin,",52.520007,13.404954
"Bratislava,",48.148597,17.107748
"Brussels,",50.85034,4.35171
"Bucharest,",44.426767,26.102538
"Budapest,",47.497912,19.040235
"Busingen,",47.696994,8.69042
"Chisinau,",47.010453,28.86381
"Copenhagen,",55.676097,12.568337
"Dublin,",53.349805,-6.26031
"Gibraltar,",36.140751,-5.353585
"Guernsey,",49.465691,-2.585278
"Helsinki,",60.169856,24.938379
"Isle of Man,",54.236107,-4.548056
"Istanbul,",41.008238,28.978359
"Jersey,",49.214439,-2.13125
"Kaliningrad,",54.710426,20.452214
"Kiev,",50.4501,30.5234
"Lisbon,",38.722252,-9.139337
"Ljubljana,",46.056947,14.505751
"London,",51.507351,-0.127758
"Luxembourg,",49.815273,6.129583
"Madrid,",40.416775,-3.70379
"Malta,",35.937496,14.375416
"Mariehamn,",60.097095,19.934834
"Minsk,",53.90454,27.561524
"Monaco,",43.738418,7.424616
"Moscow,",55.755826,37.6173
"Oslo,",59.913869,10.752245
"Paris,",48.856614,2.352222
"Podgorica,",42.43042,19.259364
"Prague,",50.075538,14.4378
"Riga,",56.949649,24.105186
"Rome,",41.902784,12.496366
"Samara,",53.241504,50.221246
"San Marino,",43.94236,12.457777
"Sarajevo,",43.856259,18.413076
"Simferopol,",44.952117,34.102417
"Skopje,",41.997346,21.427996
"Sofia,",42.697708,23.321868
"Stockholm,",59.329323,18.068581
"Tallinn,",59.436961,24.753575
"Tirane,",41.327546,19.818698
